GasCost;Avg-assignments;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-identifier-length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-identifier-length;Max-indentation-length;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-occurrences-single-character;Max-occurrences-single-identifier
0,00250594;0;0;0;0;0,2;4;0;6;0;19,5;0;0,4;0;0;0,6;0,1;2,8;7;8;0;37;4;0;7;1
0,0156147;0,066666667;0,053333333;0,146666667;0,466666667;0,106666667;6,517045455;0;6,501515152;0,066666667;54,21041667;0;0,746666667;0,106666667;0,266666667;0,48;0,133333333;7,066666667;12;8;5;176;56;8;56;5
0,01965366;0,1125;0,1625;0,10625;0,425;0,1;6,681504509;0,00625;6,267399267;0,075;45,28357753;0,0125;0,675;0,1;0,025;0,725;0,15625;3,325;13;12;12;103;108;16;93;9
0,00129714;0,2;0,2;0,2;0,1;0,2;2,2;0;5,333333333;0,4;37,33333333;0;1;0;0,2;2;0;6,4;7;8;4;74;10;0;8;2
0,01904476;0,022727273;0,227272727;0,25;0,045454545;0;5,404761905;0;5,428571429;0,227272727;40,85714286;0;0,454545455;0,090909091;0,045454545;1,227272727;0,159090909;4,386363636;14;8;10;90;20;4;15;1
0,00129714;0,183673469;0,204081633;0,367346939;0;0;5,775649351;0;6,122222222;0,163265306;51,40833333;0;1,102040816;0;0;1,020408163;0,551020408;5,816326531;15;8;8;127;54;0;36;6
0,00129714;0,111111111;0,111111111;0,166666667;0;0,555555556;1,9;0;6,266666667;0,333333333;28,98333333;0;1,166666667;0,111111111;0,222222222;1,333333333;0;8,111111111;7;8;6;65;21;2;10;3
0,01555974;0,056179775;0;0,123595506;0,168539326;0,112359551;6,753758528;0,033707865;7,841666667;0,112359551;34,30277778;0;0,786516854;0,04494382;0,078651685;0,764044944;0,101123596;6,775280899;12;13;10;96;70;4;26;8
0,02529396;0,099264706;0,077205882;0,0625;0,1875;0,073529412;7,395340504;0,036764706;6,618826825;0,128676471;34,86503297;0,007352941;0,955882353;0,132352941;0,400735294;1,323529412;0,106617647;2,5;17;16;35;106;260;36;127;10
0,00129714;0,12;0,08;0,16;0,08;0,32;1,614583333;0;3,1;0,32;26,9625;0;0,88;0,08;0,2;1,2;0;5;6;4;8;70;22;2;17;3
0,00428236;0,083333333;0,25;0,027777778;0,305555556;0,055555556;5,583333333;0;2,955555556;0,055555556;22,74444444;0;0,388888889;0,055555556;0;0,555555556;0,055555556;1,527777778;20;4;2;65;14;2;20;3
0,04608238;0,125265393;0,138004246;0,13163482;0,356687898;0,072186837;7,869718793;0,021231423;3,330549498;0,093418259;37,50403727;0,004246285;0,757961783;0,212314225;0,055201699;0,908704883;0,165605096;2,910828025;24;8;44;140;357;100;108;9
0,01522844;0,19047619;0,19047619;0,079365079;0;0,079365079;7,044444444;0;5,73015873;0,158730159;32,32698413;0;0,857142857;0,158730159;0,047619048;0,952380952;0,158730159;5,984126984;12;8;10;72;54;10;25;5
0,01523504;0,037735849;0;0,226415094;0,037735849;0,113207547;6,063470497;0;6,589285714;0,075471698;38,77232143;0;0,962264151;0,037735849;0,132075472;0,716981132;0,169811321;1,528301887;11;8;4;85;51;2;108;6
0,0272952;0,06122449;0,12244898;0,081632653;0,204081633;0,040816327;7,416666667;0;3,166666667;0,040816327;20,3375;0;0,551020408;0,040816327;0;0,734693878;0,06122449;2,510204082;17;4;2;68;27;2;25;4
0,0056468;0,053571429;0,142857143;0,017857143;0,375;0,035714286;8,598214286;0;2,966666667;0,053571429;28,03333333;0;0,321428571;0,071428571;0;0,535714286;0,017857143;1,321428571;20;4;3;66;18;4;21;3
0,00139824;0,084745763;0,169491525;0,084745763;0,355932203;0,152542373;2,568333333;0,016949153;3,27;0,169491525;28,18;0;0,491525424;0,13559322;0,118644068;0,745762712;0;3,186440678;7;6;10;78;29;8;25;3
0,01905524;0,082191781;0,095890411;0,116438356;0,356164384;0,054794521;7,136228492;0,006849315;3,264093137;0,075342466;28,5888174;0;0,671232877;0,04109589;0;0,643835616;0,171232877;2,47260274;16;6;11;76;98;6;45;7
0,02514766;0,109311741;0,153846154;0,064777328;0,12145749;0,08097166;7,395340504;0,04048583;6,621574802;0,141700405;40,05719751;0,008097166;1,052631579;0,145748988;0,437246964;1,457489879;0,117408907;6,578947368;17;16;35;115;260;36;127;10
0,02515078;0,099264706;0,077205882;0,0625;0,1875;0,073529412;7,417079635;0,036764706;6,618826825;0,128676471;34,97372863;0,007352941;0,955882353;0,132352941;0,400735294;1,323529412;0,106617647;2,5;18;16;35;106;260;36;127;10
0,00128836;0,111111111;0,185185185;0,111111111;0,185185185;0,37037037;1,694444444;0;5,2;0,111111111;29,26666667;0;0,814814815;0,074074074;0,148148148;1,185185185;0;4,777777778;6;6;3;75;22;2;11;3
0,01029698;0,023809524;0,142857143;0,261904762;0;0,19047619;6,261363636;0,047619048;5,945454545;0,166666667;38,18424242;0;1,166666667;0,095238095;0,119047619;1,142857143;0,166666667;6,976190476;8;8;7;95;49;4;29;7
0,00129714;0,073170732;0,097560976;0,097560976;0,341463415;0,195121951;1,614583333;0,024390244;3,2375;0,195121951;25,1625;0;0,536585366;0,097560976;0,12195122;0,829268293;0;3,414634146;6;6;8;70;22;4;17;3
0,01700518;0,288461538;0,038461538;0,153846154;0,048076923;0,086538462;6,058145558;0,019230769;6,141148325;0,192307692;39,13440324;0;1,163461538;0,269230769;0,009615385;1,230769231;0,471153846;6,855769231;18;12;20;97;121;28;71;10
0,00499106;0,038461538;0;0,307692308;0,5;0,173076923;3,9375;0,096153846;7,933333333;0,076923077;34,91666667;0;0,442307692;0,346153846;0,019230769;0,923076923;0;4,903846154;10;12;4;116;23;18;60;8
0,0383617;0,136792453;0,179245283;0,169811321;0,033018868;0,160377358;6,096666667;0,094339623;7,641342404;0,061320755;38,7994867;0,014150943;0,938679245;0,268867925;0,16509434;0,990566038;0,363207547;7,683962264;26;20;13;113;199;57;159;20
0,00587894;0,058823529;0;0,117647059;0;0,058823529;4,083333333;0;5,928571429;0,117647059;26,17857143;0,058823529;0,705882353;0,117647059;0,117647059;1,411764706;0,176470588;4,941176471;8;12;2;64;12;2;12;2
0,01077924;0,25;0,019230769;0,076923077;0;0,115384615;7,595238095;0,115384615;8,29390681;0,115384615;46,9937276;0;1,326923077;0,538461538;0,403846154;1,230769231;0,192307692;11,46153846;15;20;6;126;69;28;86;16
0,01559186;0,090909091;0,159090909;0,318181818;0;0,159090909;6,327564103;0;6,186666667;0,113636364;38,94666667;0;1,363636364;0,045454545;0,136363636;0,954545455;0,136363636;5,772727273;16;8;5;101;60;2;34;9
0,02188958;0,101265823;0,113924051;0,265822785;0,063291139;0,17721519;6,461721612;0,012658228;6,731746032;0,101265823;44,03571429;0;1,303797468;0,075949367;0,227848101;1,012658228;0,151898734;9,544303797;19;12;8;106;103;6;34;9
0,01980804;0,041958042;0,076923077;0,146853147;0,552447552;0,090909091;6,616483516;0,006993007;6,696031746;0,055944056;47,30545635;0;0,713286713;0,027972028;0,167832168;0,559440559;0,083916084;4,881118881;16;12;8;110;102;4;64;9
0,00452654;0,076923077;0,076923077;0,076923077;0;0;4;0;5,333333333;0,230769231;30,5;0;0,384615385;0;0;0,923076923;0;3,538461538;9;8;3;59;5;0;9;1
